Rank;Bib;"FISCode";Name;YB;"NSACode";Run 1;;;Run 2;;;Total;Race;;;;;;;;;;;;;;;Diff.;Points;Ski;;;;;;Time Rank;;;Time Rank;;;;;;
1;7;380335;ZUBCIC Filip;1993;CRO;1;08.48;(2);1;12.14;(10);2:20.62;;0.00;Atomic
2;2;194495;FAIVRE Mathieu;1992;FRA;1;08.37;(1);1;12.65;(17);2:21.02;0.40;2.87;Head
3;24;54027;BRENNSTEINER Stefan;1991;AUT;1;09.17;(5);1;12.38;(14);2:21.55;0.93;6.68;Fischer
4;3;194364;PINTURAULT Alexis;1991;FRA;1;08.60;(3);1;13.08;(26);2:21.68;1.06;7.61;Head
5;1;512269;ODERMATT Marco;1997;SUI;1;09.46;(6);1;12.68;(19);2:22.14;1.52;10.92;Stoeckli
6;16;54063;FELLER Manuel;1992;AUT;1;09.82;(9);1;12.43;(15);2:22.25;1.63;11.71;Atomic
7;20;194935;FAVROT Thibaut;1994;FRA;1;10.37;(13);1;12.02;(5);2:22.39;1.77;12.71;Dynastar
8;6;512182;MEILLARD Loic;1996;SUI;1;09.77;(8);1;12.67;(18);2:22.44;1.82;13.07;Rossignol
9;47;561322;HADALIN Stefan;1995;SLO;1;11.71;(24);1;10.88;(1);2:22.59;1.97;14.15;Rossignol
10;13;54320;SCHWARZ Marco;1995;AUT;1;10.11;(11);1;12.60;(16);2:22.71;2.09;15.01;Atomic
11;8;202597;SCHMID Alexander;1994;GER;1;09.72;(7);1;13.05;(25);2:22.77;2.15;15.44;Head
12;5;561244;KRANJEC Zan;1992;SLO;1;09.92;(10);1;12.86;(21);2:22.78;2.16;15.51;Rossignol
13;15;511896;MURISIER Justin;1992;SUI;1;10.17;(12);1;12.91;(23);2:23.08;2.46;17.67;Head
14;23;6532084;RADAMUS River;1998;USA;1;11.38;(21);1;11.79;(4);2:23.17;2.55;18.32;Rossignol
14;19;202437;LUITZ Stefan;1992;GER;1;11.01;(18);1;12.16;(11);2:23.17;2.55;18.32;Rossignol
16;44;6293775;DELLA VITE Filippo;2001;ITA;1;12.07;(28);1;11.28;(2);2:23.35;2.73;19.61;Rossignol
17;4;422304;KRISTOFFERSEN Henrik;1994;NOR;1;09.05;(4);1;14.42;(30);2:23.47;2.85;20.47;Rossignol
18;14;990116;de ALIPRANDINI Luca;1990;ITA;1;10.67;(15);1;12.87;(22);2:23.54;2.92;20.97;Salomon
19;18;700830;ZAMPA Adam;1990;SVK;1;11.61;(22);1;12.08;(8);2:23.69;3.07;22.05;Salomon
20;53;54348;PERTL Adrian;1996;AUT;1;12.06;(27);1;11.72;(3);2:23.78;3.16;22.70;Voelkl
21;12;511852;CAVIEZEL Gino;1992;SUI;1;10.70;(16);1;13.10;(27);2:23.80;3.18;22.84;Dynastar
22;22;990048;BORSOTTI Giovanni;1990;ITA;1;10.80;(17);1;13.01;(24);2:23.81;3.19;22.91;Rossignol
23;32;422278;WINDINGSTAD Rasmus;1993;NOR;1;11.62;(23);1;12.28;(13);2:23.90;3.28;23.56;Stoeckli
24;9;421669;NESTVOLD-HAUGEN Leif Kristian;1987;NOR;1;10.43;(14);1;13.48;(28);2:23.91;3.29;23.63;Rossignol
25;28;512274;BISSIG Semyel;1998;SUI;1;11.24;(20);1;12.70;(20);2:23.94;3.32;23.85;Atomic
26;52;501898;ROENNGREN Mattias;1993;SWE;1;11.88;(25);1;12.08;(8);2:23.96;3.34;23.99;Head
27;41;6291725;ZINGERLE Hannes;1995;ITA;1;11.95;(26);1;12.05;(6);2:24.00;3.38;24.28;Rossignol
28;21;291318;TONETTI Riccardo;1989;ITA;1;12.14;(30);1;12.05;(6);2:24.19;3.57;25.64;Blizzard
29;36;481730;KUZNETSOV Ivan;1996;RUS;1;12.09;(29);1;12.25;(12);2:24.34;3.72;26.72;Atomic
30;10;193967;MUFFAT-JEANDET Victor;1989;FRA;1;11.23;(19);1;13.57;(29);2:24.80;4.18;30.02;Salomon
Conditions on course:;;;;;;;
Run 1;SUNNY;Snow:;COMPACT;Temperature - Start:;0°C;Temperature - Finish:;1°C
Run 2;SUNNY;Snow:;COMPACT;Temperature - Start:;2°C;Temperature - Finish:;3°C
