65. Internationale Adelbodner Skitage
8. I 9. I 10. Januar 2021
GHOST EDITION
OFFICAL SPONSORS	OFFICIAL BROADCASTER
Helvetia 4	t)BWT | brack.ch | sportER BKW $ swisscom RAIFFEISEN	EZS sport
"Q38D
Audi
FIS Ski World Cup";"AUDI FIS SKI WORLD CUP 2020/21
Adelboden (SUI)";LONGINES
F//s;"5th Men's Giant Slalom
OFFICIAL RESULTS";"FRI 8 JAN 2021
Start Time 13:15"
Number of Competitors: 67, Number of NSAs: 20
: 0.00
Rank;Bib;"FIS
Code";Name;YB;"NSA
Code";Run 1;Rank1;;Run 2;;Rank2;Total;Diff.;Points;Ski
1;1;194364;PINTURAULT Alexis;1991;FRA;1;09.94;(1);1;08.32;(1);2:18.26;;0.00;Head
2;3;380335;ZUBCIC Filip;1993;CRO;1;10.91;(3);1;08.39;(3);2:19.30;1.04;7.60;Atomic
3;7;512269;ODERMATT Marco;1997;SUI;1;10.90;(2);1;08.47;(4);2:19.37;1.11;8.11;Stoeckli
4;12;422139;KILDE Aleksander Aamodt;1992;NOR;1;11.75;(10);1;08.72;(5);2:20.47;2.21;16.14;Atomic
5;18;511896;MURISIER Justin;1992;SUI;1;11.22;(5);1;09.33;(10);2:20.55;2.29;16.73;Head
6;15;512182;MEILLARD Loic;1996;SUI;1;11.51;(9);1;09.14;(8);2:20.65;2.39;17.46;Rossignol
7;9;422729;BRAATHEN Lucas;2000;NOR;1;11.94;(11);1;08.96;(6);2:20.90;2.64;19.29;Atomic
8;5;421669;NESTVOLD-HAUGEN Leif Kristian;1987;NOR;1;11.36;(7);1;09.59;(17);2:20.95;2.69;19.65;Rossignol
9;6;422304;KRISTOFFERSEN Henrik;1994;NOR;1;11.46;(8);1;09.60;(18);2:21.06;2.80;20.45;Rossignol
10;2;531799;FORD Tommy;1989;USA;1;11.09;(4);1;10.02;(25);2:21.11;2.85;20.82;Head
11;22;54031;LEITINGER Roland;1991;AUT;1;12.93;(28);1;08.35;(2);2:21.28;3.02;22.06;Salomon
