"";"Rank";"Name";"YB";"NSA";"Ski";"venue";"Disciplina";"temperatura";"vreme";"sneg";"tocke_30"
"767";11;"PERTL Adrian";1996;"AUT";"Voelkl";"Adelboden";"SL";-8;"	SUNNY";"HARD";24
"768";12;"HIRSCHBUEHL Christian";1990;"AUT";"Rossignol";"Adelboden";"SL";-8;"	SUNNY";"HARD";22
"769";13;"ZENHAEUSERN Ramon";1992;"SUI";"Rossignol";"Adelboden";"SL";-8;"	SUNNY";"HARD";20
"770";14;"MOELGG Manfred";1982;"ITA";"Fischer";"Adelboden";"SL";-8;"	SUNNY";"HARD";18
"771";15;"HADALIN Stefan";1995;"SLO";"Rossignol";"Adelboden";"SL";-8;"	SUNNY";"HARD";16
"772";16;"JAKOBSEN Kristoffer";1994;"SWE";"Fischer";"Adelboden";"SL";-8;"	SUNNY";"HARD";15
"773";17;"PINTURAULT Alexis";1991;"FRA";"Head";"Adelboden";"SL";-8;"	SUNNY";"HARD";14
"774";18;"MAURBERGER Simon";1995;"ITA";"Atomic";"Adelboden";"SL";-8;"	SUNNY";"HARD";13
"775";19;"GRANGE Jean-Baptiste";1984;"FRA";"Rossignol";"Adelboden";"SL";-8;"	SUNNY";"HARD";12
"776";20;"AERNI Luca";1993;"SUI";"Fischer";"Adelboden";"SL";-8;"	SUNNY";"HARD";11
"777";21;"ROCHAT Marc";1992;"SUI";"Nordica";"Adelboden";"SL";-8;"	SUNNY";"HARD";10
"778";22;"STROLZ Johannes";1992;"AUT";"Head";"Adelboden";"SL";-8;"	SUNNY";"HARD";9
"779";23;"WINTERS Luke";1997;"USA";"Rossignol";"Adelboden";"SL";-8;"	SUNNY";"HARD";8
"780";24;"SALA Tommaso";1995;"ITA";"Dynastar";"Adelboden";"SL";-8;"	SUNNY";"HARD";7
"781";25;"TONETTI Riccardo";1989;"ITA";"Blizzard";"Adelboden";"SL";-8;"	SUNNY";"HARD";6
"782";26;"MUFFAT-JEANDET Victor";1989;"FRA";"Salomon";"Adelboden";"SL";-8;"	SUNNY";"HARD";5
"783";1;"ZENHAEUSERN Ramon";1992;"SUI";"Rossignol";"Alta Badia";"SL";1;"PARTLY CLOUDY";"HARD";100
"784";2;"FELLER Manuel";1992;"AUT";"Atomic";"Alta Badia";"SL";1;"PARTLY CLOUDY";"HARD";80
"785";3;"SCHWARZ Marco";1995;"AUT";"Atomic";"Alta Badia";"SL";1;"PARTLY CLOUDY";"HARD";60
"786";4;"VINATZER Alex";1999;"ITA";"Nordica";"Alta Badia";"SL";1;"PARTLY CLOUDY";"HARD";50
"787";5;"MUFFAT-JEANDET Victor";1989;"FRA";"Salomon";"Alta Badia";"SL";1;"PARTLY CLOUDY";"HARD";45
"788";6;"KRISTOFFERSEN Henrik";1994;"NOR";"Rossignol";"Alta Badia";"SL";1;"PARTLY CLOUDY";"HARD";40
"789";7;"YULE Daniel";1993;"SUI";"Fischer";"Alta Badia";"SL";1;"PARTLY CLOUDY";"HARD";36
"790";8;"NEF Tanguy";1996;"SUI";"Fischer";"Alta Badia";"SL";1;"PARTLY CLOUDY";"HARD";32
"791";9;"FOSS-SOLEVAAG Sebastian";1991;"NOR";"Voelkl";"Alta Badia";"SL";1;"PARTLY CLOUDY";"HARD";29
"792";10;"RYDING Dave";1986;"GBR";"Dynastar";"Alta Badia";"SL";1;"PARTLY CLOUDY";"HARD";26
"793";11;"PINTURAULT Alexis";1991;"FRA";"Head";"Alta Badia";"SL";1;"PARTLY CLOUDY";"HARD";24
"794";12;"JAKOBSEN Kristoffer";1994;"SWE";"Fischer";"Alta Badia";"SL";1;"PARTLY CLOUDY";"HARD";22
"795";13;"MEILLARD Loic";1996;"SUI";"Rossignol";"Alta Badia";"SL";1;"PARTLY CLOUDY";"HARD";20
"796";14;"PERTL Adrian";1996;"AUT";"Voelkl";"Alta Badia";"SL";1;"PARTLY CLOUDY";"HARD";18
"797";15;"MATT Michael";1993;"AUT";"Rossignol";"Alta Badia";"SL";1;"PARTLY CLOUDY";"HARD";16
"798";16;"READ Erik";1991;"CAN";"Atomic";"Alta Badia";"SL";1;"PARTLY CLOUDY";"HARD";15
"799";17;"AERNI Luca";1993;"SUI";"Fischer";"Alta Badia";"SL";1;"PARTLY CLOUDY";"HARD";14
"800";18;"STRASSER Linus";1992;"GER";"Rossignol";"Alta Badia";"SL";1;"PARTLY CLOUDY";"HARD";13
"801";19;"MOELGG Manfred";1982;"ITA";"Fischer";"Alta Badia";"SL";1;"PARTLY CLOUDY";"HARD";12
"802";20;"HADALIN Stefan";1995;"SLO";"Rossignol";"Alta Badia";"SL";1;"PARTLY CLOUDY";"HARD";11
"803";21;"GSTREIN Fabio";1997;"AUT";"Atomic";"Alta Badia";"SL";1;"PARTLY CLOUDY";"HARD";10
"804";22;"HIRSCHBUEHL Christian";1990;"AUT";"Rossignol";"Alta Badia";"SL";1;"PARTLY CLOUDY";"HARD";9
"805";23;"GROSS Stefano";1986;"ITA";"Voelkl";"Alta Badia";"SL";1;"PARTLY CLOUDY";"HARD";8
"806";24;"GRANGE Jean-Baptiste";1984;"FRA";"Rossignol";"Alta Badia";"SL";1;"PARTLY CLOUDY";"HARD";7
"807";25;"HOLZMANN Sebastian";1993;"GER";"Rossignol";"Alta Badia";"SL";1;"PARTLY CLOUDY";"HARD";6
"808";26;"ZUBCIC Filip";1993;"CRO";"Atomic";"Alta Badia";"SL";1;"PARTLY CLOUDY";"HARD";5
"809";27;"NORDBOTTEN Jonathan";1989;"NOR";"Head";"Alta Badia";"SL";1;"PARTLY CLOUDY";"HARD";4
"810";28;"MAURBERGER Simon";1995;"ITA";"Atomic";"Alta Badia";"SL";1;"PARTLY CLOUDY";"HARD";3
"811";29;"ROCHAT Marc";1992;"SUI";"Nordica";"Alta Badia";"SL";1;"PARTLY CLOUDY";"HARD";2
"812";1;"FOSS-SOLEVAAG Sebastian";1991;"NOR";"Voelkl";"Cortina";"SL";3;"	SUNNY";"HARD";100
"813";2;"PERTL Adrian";1996;"AUT";"Voelkl";"Cortina";"SL";3;"	SUNNY";"HARD";80
"814";3;"KRISTOFFERSEN Henrik";1994;"NOR";"Rossignol";"Cortina";"SL";3;"	SUNNY";"HARD";60
"815";4;"VINATZER Alex";1999;"ITA";"Nordica";"Cortina";"SL";3;"	SUNNY";"HARD";50
"816";5;"YULE Daniel";1993;"SUI";"Fischer";"Cortina";"SL";3;"	SUNNY";"HARD";45
"817";6;"RODES Istok";1996;"CRO";"Atomic";"Cortina";"SL";3;"	SUNNY";"HARD";40
"818";7;"HADALIN Stefan";1995;"SLO";"Rossignol";"Cortina";"SL";3;"	SUNNY";"HARD";36
"819";7;"PINTURAULT Alexis";1991;"FRA";"Head";"Cortina";"SL";3;"	SUNNY";"HARD";36
"820";9;"MATT Michael";1993;"AUT";"Rossignol";"Cortina";"SL";3;"	SUNNY";"HARD";29
"821";10;"MARCHANT Armand";1997;"BEL";"Salomon";"Cortina";"SL";3;"	SUNNY";"HARD";26
"822";11;"ZENHAEUSERN Ramon";1992;"SUI";"Rossignol";"Cortina";"SL";3;"	SUNNY";"HARD";24
"823";12;"VIDOVIC Matej";1993;"CRO";"Head";"Cortina";"SL";3;"	SUNNY";"HARD";22
"824";13;"RITCHIE Benjamin";2000;"USA";"Dynastar";"Cortina";"SL";3;"	SUNNY";"HARD";20
"825";14;"MOELGG Manfred";1982;"ITA";"Fischer";"Cortina";"SL";3;"	SUNNY";"HARD";18
"826";15;"STRASSER Linus";1992;"GER";"Rossignol";"Cortina";"SL";3;"	SUNNY";"HARD";16
"827";16;"EFIMOV Simon";1996;"RSF";"Head";"Cortina";"SL";3;"	SUNNY";"HARD";15
"828";17;"BERNDT Ondrej";1988;"CZE";"Atomic";"Cortina";"SL";3;"	SUNNY";"HARD";14
"829";18;"MAROVT Tijan";1998;"SLO";"Head";"Cortina";"SL";3;"	SUNNY";"HARD";13
"830";19;"DVORNIK Aljaz";1995;"SLO";"Atomic";"Cortina";"SL";3;"	SUNNY";"HARD";12
"831";20;"PUENTE TASIAS Alejandro";1994;"ESP";"Rossignol";"Cortina";"SL";3;"	SUNNY";"HARD";11
"832";21;"NOEL Clement";1997;"FRA";"Dynastar";"Cortina";"SL";3;"	SUNNY";"HARD";10
"833";22;"ALEKHIN Nikita";1998;"RSF";"Rossignol";"Cortina";"SL";3;"	SUNNY";"HARD";9
"834";23;"COMERFORD Cormac";1996;"IRL";"";"Cortina";"SL";3;"	SUNNY";"HARD";8
"835";24;"BALAZ Filip";2001;"SVK";"";"Cortina";"SL";3;"	SUNNY";"HARD";7
"836";25;"KEKESI Marton";1995;"HUN";"";"Cortina";"SL";3;"	SUNNY";"HARD";6
"837";26;"DYRBYE Casper";1996;"DEN";"";"Cortina";"SL";3;"	SUNNY";"HARD";5
"838";27;"SIMARI BIRKNER Cristian Javier";1980;"ARG";"";"Cortina";"SL";3;"	SUNNY";"HARD";4
"839";28;"OSCH Matthieu";1999;"LUX";"Kaestle";"Cortina";"SL";3;"	SUNNY";"HARD";3
"840";29;"TOLA Erjon";1986;"ALB";"";"Cortina";"SL";3;"	SUNNY";"HARD";2
"841";30;"KOVBASNYUK Ivan";1993;"UKR";"";"Cortina";"SL";3;"	SUNNY";"HARD";1
"842";1;"NOEL Clement";1997;"FRA";"Dynastar";"Kranjska Gora";"SL";0,75;"	SNOW";"SPRING CONDITIONS";100
"843";2;"MUFFAT-JEANDET Victor";1989;"FRA";"Salomon";"Kranjska Gora";"SL";0,75;"	SNOW";"SPRING CONDITIONS";80
"844";3;"ZENHAEUSERN Ramon";1992;"SUI";"Rossignol";"Kranjska Gora";"SL";0,75;"	SNOW";"SPRING CONDITIONS";60
"845";4;"MEILLARD Loic";1996;"SUI";"Rossignol";"Kranjska Gora";"SL";0,75;"	SNOW";"SPRING CONDITIONS";50
"846";5;"KRISTOFFERSEN Henrik";1994;"NOR";"Rossignol";"Kranjska Gora";"SL";0,75;"	SNOW";"SPRING CONDITIONS";45
"847";6;"FELLER Manuel";1992;"AUT";"Atomic";"Kranjska Gora";"SL";0,75;"	SNOW";"SPRING CONDITIONS";40
"848";7;"SCHWARZ Marco";1995;"AUT";"Atomic";"Kranjska Gora";"SL";0,75;"	SNOW";"SPRING CONDITIONS";36
"849";8;"VINATZER Alex";1999;"ITA";"Nordica";"Kranjska Gora";"SL";0,75;"	SNOW";"SPRING CONDITIONS";32
"850";9;"GSTREIN Fabio";1997;"AUT";"Atomic";"Kranjska Gora";"SL";0,75;"	SNOW";"SPRING CONDITIONS";29
"851";10;"FOSS-SOLEVAAG Sebastian";1991;"NOR";"Voelkl";"Kranjska Gora";"SL";0,75;"	SNOW";"SPRING CONDITIONS";26
"852";11;"YULE Daniel";1993;"SUI";"Fischer";"Kranjska Gora";"SL";0,75;"	SNOW";"SPRING CONDITIONS";24
"853";12;"ZUBCIC Filip";1993;"CRO";"Atomic";"Kranjska Gora";"SL";0,75;"	SNOW";"SPRING CONDITIONS";22
"854";13;"GRANGE Jean-Baptiste";1984;"FRA";"Rossignol";"Kranjska Gora";"SL";0,75;"	SNOW";"SPRING CONDITIONS";20
"855";14;"STRASSER Linus";1992;"GER";"Rossignol";"Kranjska Gora";"SL";0,75;"	SNOW";"SPRING CONDITIONS";18
"856";15;"GROSS Stefano";1986;"ITA";"Voelkl";"Kranjska Gora";"SL";0,75;"	SNOW";"SPRING CONDITIONS";16
"857";15;"JAKOBSEN Kristoffer";1994;"SWE";"Fischer";"Kranjska Gora";"SL";0,75;"	SNOW";"SPRING CONDITIONS";16
"858";17;"PERTL Adrian";1996;"AUT";"Voelkl";"Kranjska Gora";"SL";0,75;"	SNOW";"SPRING CONDITIONS";14
"859";18;"VIDOVIC Matej";1993;"CRO";"Head";"Kranjska Gora";"SL";0,75;"	SNOW";"SPRING CONDITIONS";13
"860";19;"HOLZMANN Sebastian";1993;"GER";"Rossignol";"Kranjska Gora";"SL";0,75;"	SNOW";"SPRING CONDITIONS";12
"861";20;"HAUGAN Timon";1996;"NOR";"Head";"Kranjska Gora";"SL";0,75;"	SNOW";"SPRING CONDITIONS";11
"862";21;"KHOROSHILOV Alexander";1984;"RUS";"Fischer";"Kranjska Gora";"SL";0,75;"	SNOW";"SPRING CONDITIONS";10
"863";22;"RODES Istok";1996;"CRO";"Atomic";"Kranjska Gora";"SL";0,75;"	SNOW";"SPRING CONDITIONS";9
"864";23;"MARCHANT Armand";1997;"BEL";"Salomon";"Kranjska Gora";"SL";0,75;"	SNOW";"SPRING CONDITIONS";8
"865";24;"POPOV Albert";1997;"BUL";"Head";"Kranjska Gora";"SL";0,75;"	SNOW";"SPRING CONDITIONS";7
"866";25;"HADALIN Stefan";1995;"SLO";"Rossignol";"Kranjska Gora";"SL";0,75;"	SNOW";"SPRING CONDITIONS";6
"867";26;"RYDING Dave";1986;"GBR";"Fischer";"Kranjska Gora";"SL";0,75;"	SNOW";"SPRING CONDITIONS";5
"868";1;"FELLER Manuel";1992;"AUT";"Atomic";"Lenzerheide";"SL";-7,5;"MOSTLY CLOUDY";"HARD";100
"869";2;"NOEL Clement";1997;"FRA";"Dynastar";"Lenzerheide";"SL";-7,5;"MOSTLY CLOUDY";"HARD";80
"870";3;"PINTURAULT Alexis";1991;"FRA";"Head";"Lenzerheide";"SL";-7,5;"MOSTLY CLOUDY";"HARD";60
"871";4;"VINATZER Alex";1999;"ITA";"Nordica";"Lenzerheide";"SL";-7,5;"MOSTLY CLOUDY";"HARD";50
"872";5;"MEILLARD Loic";1996;"SUI";"Rossignol";"Lenzerheide";"SL";-7,5;"MOSTLY CLOUDY";"HARD";45
"873";6;"SCHWARZ Marco";1995;"AUT";"Atomic";"Lenzerheide";"SL";-7,5;"MOSTLY CLOUDY";"HARD";40
"874";7;"AERNI Luca";1993;"SUI";"Fischer";"Lenzerheide";"SL";-7,5;"MOSTLY CLOUDY";"HARD";36
"875";8;"MUFFAT-JEANDET Victor";1989;"FRA";"Salomon";"Lenzerheide";"SL";-7,5;"MOSTLY CLOUDY";"HARD";32
"876";9;"STRASSER Linus";1992;"GER";"Rossignol";"Lenzerheide";"SL";-7,5;"MOSTLY CLOUDY";"HARD";29
"877";10;"NEF Tanguy";1996;"SUI";"Fischer";"Lenzerheide";"SL";-7,5;"MOSTLY CLOUDY";"HARD";26
"878";11;"HIRSCHBUEHL Christian";1990;"AUT";"Rossignol";"Lenzerheide";"SL";-7,5;"MOSTLY CLOUDY";"HARD";24
"879";12;"KRISTOFFERSEN Henrik";1994;"NOR";"Rossignol";"Lenzerheide";"SL";-7,5;"MOSTLY CLOUDY";"HARD";22
"880";13;"ZUBCIC Filip";1993;"CRO";"Atomic";"Lenzerheide";"SL";-7,5;"MOSTLY CLOUDY";"HARD";20
"881";14;"HADALIN Stefan";1995;"SLO";"Rossignol";"Lenzerheide";"SL";-7,5;"MOSTLY CLOUDY";"HARD";18
"882";14;"RYDING Dave";1986;"GBR";"Fischer";"Lenzerheide";"SL";-7,5;"MOSTLY CLOUDY";"HARD";18
"883";16;"KHOROSHILOV Alexander";1984;"RUS";"Fischer";"Lenzerheide";"SL";-7,5;"MOSTLY CLOUDY";"HARD";15
"884";1;"KRISTOFFERSEN Henrik";1994;"NOR";"Rossignol";"Madonna di Campiglio";"SL";0,5;"SKY CLEAR";"HARD";100
"885";2;"FOSS-SOLEVAAG Sebastian";1991;"NOR";"Voelkl";"Madonna di Campiglio";"SL";0,5;"SKY CLEAR";"HARD";80
"886";3;"VINATZER Alex";1999;"ITA";"Nordica";"Madonna di Campiglio";"SL";0,5;"SKY CLEAR";"HARD";60
"887";4;"FELLER Manuel";1992;"AUT";"Atomic";"Madonna di Campiglio";"SL";0,5;"SKY CLEAR";"HARD";50
"888";5;"NOEL Clement";1997;"FRA";"Dynastar";"Madonna di Campiglio";"SL";0,5;"SKY CLEAR";"HARD";45
"889";6;"GRANGE Jean-Baptiste";1984;"FRA";"Rossignol";"Madonna di Campiglio";"SL";0,5;"SKY CLEAR";"HARD";40
"890";6;"STRASSER Linus";1992;"GER";"Rossignol";"Madonna di Campiglio";"SL";0,5;"SKY CLEAR";"HARD";40
"891";6;"PINTURAULT Alexis";1991;"FRA";"Head";"Madonna di Campiglio";"SL";0,5;"SKY CLEAR";"HARD";40
"892";9;"SCHWARZ Marco";1995;"AUT";"Atomic";"Madonna di Campiglio";"SL";0,5;"SKY CLEAR";"HARD";29
"893";10;"JAKOBSEN Kristoffer";1994;"SWE";"Fischer";"Madonna di Campiglio";"SL";0,5;"SKY CLEAR";"HARD";26
"894";11;"MEILLARD Loic";1996;"SUI";"Rossignol";"Madonna di Campiglio";"SL";0,5;"SKY CLEAR";"HARD";24
"895";12;"GSTREIN Fabio";1997;"AUT";"Atomic";"Madonna di Campiglio";"SL";0,5;"SKY CLEAR";"HARD";22
"896";13;"KHOROSHILOV Alexander";1984;"RUS";"Fischer";"Madonna di Campiglio";"SL";0,5;"SKY CLEAR";"HARD";20
"897";13;"ZENHAEUSERN Ramon";1992;"SUI";"Rossignol";"Madonna di Campiglio";"SL";0,5;"SKY CLEAR";"HARD";20
"898";15;"MOELGG Manfred";1982;"ITA";"Fischer";"Madonna di Campiglio";"SL";0,5;"SKY CLEAR";"HARD";16
"899";16;"MATT Michael";1993;"AUT";"Rossignol";"Madonna di Campiglio";"SL";0,5;"SKY CLEAR";"HARD";15
"900";17;"PERTL Adrian";1996;"AUT";"Voelkl";"Madonna di Campiglio";"SL";0,5;"SKY CLEAR";"HARD";14
"901";18;"NEF Tanguy";1996;"SUI";"Fischer";"Madonna di Campiglio";"SL";0,5;"SKY CLEAR";"HARD";13
"902";18;"HIRSCHBUEHL Christian";1990;"AUT";"Rossignol";"Madonna di Campiglio";"SL";0,5;"SKY CLEAR";"HARD";13
"903";20;"ZUBCIC Filip";1993;"CRO";"Atomic";"Madonna di Campiglio";"SL";0,5;"SKY CLEAR";"HARD";11
"904";21;"RYDING Dave";1986;"GBR";"Dynastar";"Madonna di Campiglio";"SL";0,5;"SKY CLEAR";"HARD";10
"905";22;"YULE Daniel";1993;"SUI";"Fischer";"Madonna di Campiglio";"SL";0,5;"SKY CLEAR";"HARD";9
"906";23;"MAURBERGER Simon";1995;"ITA";"Atomic";"Madonna di Campiglio";"SL";0,5;"SKY CLEAR";"HARD";8
"907";24;"HAUGAN Timon";1996;"NOR";"Head";"Madonna di Campiglio";"SL";0,5;"SKY CLEAR";"HARD";7
"908";25;"HOLZMANN Sebastian";1993;"GER";"Rossignol";"Madonna di Campiglio";"SL";0,5;"SKY CLEAR";"HARD";6
"909";26;"HADALIN Stefan";1995;"SLO";"Rossignol";"Madonna di Campiglio";"SL";0,5;"SKY CLEAR";"HARD";5
"910";1;"SCHWARZ Marco";1995;"AUT";"Atomic";"Schladming";"SL";-4;"SNOW";"COMPACT";100
"911";2;"NOEL Clement";1997;"FRA";"Dynastar";"Schladming";"SL";-4;"SNOW";"COMPACT";80
"912";3;"PINTURAULT Alexis";1991;"FRA";"Head";"Schladming";"SL";-4;"SNOW";"COMPACT";60
"913";4;"FOSS-SOLEVAAG Sebastian";1991;"NOR";"Voelkl";"Schladming";"SL";-4;"SNOW";"COMPACT";50
"914";5;"ZENHAEUSERN Ramon";1992;"SUI";"Rossignol";"Schladming";"SL";-4;"SNOW";"COMPACT";45
"915";6;"POPOV Albert";1997;"BUL";"Head";"Schladming";"SL";-4;"SNOW";"COMPACT";40
"916";7;"KHOROSHILOV Alexander";1984;"RUS";"Fischer";"Schladming";"SL";-4;"SNOW";"COMPACT";36
"917";8;"MOELGG Manfred";1982;"ITA";"Fischer";"Schladming";"SL";-4;"SNOW";"COMPACT";32
"918";9;"MEILLARD Loic";1996;"SUI";"Rossignol";"Schladming";"SL";-4;"SNOW";"COMPACT";29
"919";10;"PERTL Adrian";1996;"AUT";"Voelkl";"Schladming";"SL";-4;"SNOW";"COMPACT";26
"920";11;"KRISTOFFERSEN Henrik";1994;"NOR";"Rossignol";"Schladming";"SL";-4;"SNOW";"COMPACT";24
"921";12;"GRANGE Jean-Baptiste";1984;"FRA";"Rossignol";"Schladming";"SL";-4;"SNOW";"COMPACT";22
"922";13;"HAUGAN Timon";1996;"NOR";"Head";"Schladming";"SL";-4;"SNOW";"COMPACT";20
"923";14;"GROSS Stefano";1986;"ITA";"Voelkl";"Schladming";"SL";-4;"SNOW";"COMPACT";18
"924";15;"RYDING Dave";1986;"GBR";"Fischer";"Schladming";"SL";-4;"SNOW";"COMPACT";16
"925";16;"MARCHANT Armand";1997;"BEL";"Salomon";"Schladming";"SL";-4;"SNOW";"COMPACT";15
"926";17;"ROCHAT Marc";1992;"SUI";"Nordica";"Schladming";"SL";-4;"SNOW";"COMPACT";14
"927";18;"STROLZ Johannes";1992;"AUT";"Head";"Schladming";"SL";-4;"SNOW";"COMPACT";13
"928";19;"von GRUENIGEN Noel";1995;"SUI";"Fischer";"Schladming";"SL";-4;"SNOW";"COMPACT";12
"929";20;"NEF Tanguy";1996;"SUI";"Fischer";"Schladming";"SL";-4;"SNOW";"COMPACT";11
"930";21;"MUFFAT-JEANDET Victor";1989;"FRA";"Salomon";"Schladming";"SL";-4;"SNOW";"COMPACT";10
"931";22;"READ Erik";1991;"CAN";"Atomic";"Schladming";"SL";-4;"SNOW";"COMPACT";9
"932";23;"HADALIN Stefan";1995;"SLO";"Rossignol";"Schladming";"SL";-4;"SNOW";"COMPACT";8
"933";24;"LEEVER Alex";1995;"USA";"Fischer";"Schladming";"SL";-4;"SNOW";"COMPACT";7
"934";25;"SEYMOUR Jett";1998;"USA";"";"Schladming";"SL";-4;"SNOW";"COMPACT";6
"935";1;"STRASSER Linus";1992;"GER";"Rossignol";"Zagreb";"SL";0,5;"PARTLY CLOUDY";"COMPACT";100
"936";2;"FELLER Manuel";1992;"AUT";"Atomic";"Zagreb";"SL";0,5;"PARTLY CLOUDY";"COMPACT";80
"937";3;"SCHWARZ Marco";1995;"AUT";"Atomic";"Zagreb";"SL";0,5;"PARTLY CLOUDY";"COMPACT";60
"938";4;"MATT Michael";1993;"AUT";"Rossignol";"Zagreb";"SL";0,5;"PARTLY CLOUDY";"COMPACT";50
"939";5;"ZUBCIC Filip";1993;"CRO";"Atomic";"Zagreb";"SL";0,5;"PARTLY CLOUDY";"COMPACT";45
"940";6;"MUFFAT-JEANDET Victor";1989;"FRA";"Salomon";"Zagreb";"SL";0,5;"PARTLY CLOUDY";"COMPACT";40
"941";7;"NOEL Clement";1997;"FRA";"Dynastar";"Zagreb";"SL";0,5;"PARTLY CLOUDY";"COMPACT";36
"942";8;"GSTREIN Fabio";1997;"AUT";"Atomic";"Zagreb";"SL";0,5;"PARTLY CLOUDY";"COMPACT";32
"943";9;"ZENHAEUSERN Ramon";1992;"SUI";"Rossignol";"Zagreb";"SL";0,5;"PARTLY CLOUDY";"COMPACT";29
"944";10;"YULE Daniel";1993;"SUI";"Fischer";"Zagreb";"SL";0,5;"PARTLY CLOUDY";"COMPACT";26
"945";10;"KRISTOFFERSEN Henrik";1994;"NOR";"Rossignol";"Zagreb";"SL";0,5;"PARTLY CLOUDY";"COMPACT";26
"946";12;"VIDOVIC Matej";1993;"CRO";"Head";"Zagreb";"SL";0,5;"PARTLY CLOUDY";"COMPACT";22
"947";13;"FOSS-SOLEVAAG Sebastian";1991;"NOR";"Voelkl";"Zagreb";"SL";0,5;"PARTLY CLOUDY";"COMPACT";20
"948";14;"KHOROSHILOV Alexander";1984;"RUS";"Fischer";"Zagreb";"SL";0,5;"PARTLY CLOUDY";"COMPACT";18
"949";15;"KOLEGA Samuel";1999;"CRO";"";"Zagreb";"SL";0,5;"PARTLY CLOUDY";"COMPACT";16
"950";16;"HADALIN Stefan";1995;"SLO";"Rossignol";"Zagreb";"SL";0,5;"PARTLY CLOUDY";"COMPACT";15
"951";17;"HOLZMANN Sebastian";1993;"GER";"Rossignol";"Zagreb";"SL";0,5;"PARTLY CLOUDY";"COMPACT";14
"952";18;"McGRATH Atle Lie";2000;"NOR";"Head";"Zagreb";"SL";0,5;"PARTLY CLOUDY";"COMPACT";13
"953";18;"PINTURAULT Alexis";1991;"FRA";"Head";"Zagreb";"SL";0,5;"PARTLY CLOUDY";"COMPACT";13
"954";20;"HAUGAN Timon";1996;"NOR";"Head";"Zagreb";"SL";0,5;"PARTLY CLOUDY";"COMPACT";11
"955";21;"SIMONET Sandro";1995;"SUI";"Rossignol";"Zagreb";"SL";0,5;"PARTLY CLOUDY";"COMPACT";10
"956";22;"DIGRUBER Marc";1988;"AUT";"Atomic";"Zagreb";"SL";0,5;"PARTLY CLOUDY";"COMPACT";9
"957";23;"RODES Istok";1996;"CRO";"Atomic";"Zagreb";"SL";0,5;"PARTLY CLOUDY";"COMPACT";8
"958";24;"SALA Tommaso";1995;"ITA";"Dynastar";"Zagreb";"SL";0,5;"PARTLY CLOUDY";"COMPACT";7
"959";25;"READ Erik";1991;"CAN";"Atomic";"Zagreb";"SL";0,5;"PARTLY CLOUDY";"COMPACT";6
"960";26;"RAZZOLI Giuliano";1984;"ITA";"Fischer";"Zagreb";"SL";0,5;"PARTLY CLOUDY";"COMPACT";5
"961";27;"RYDING Dave";1986;"GBR";"Dynastar";"Zagreb";"SL";0,5;"PARTLY CLOUDY";"COMPACT";4
"962";28;"JAKOBSEN Kristoffer";1994;"SWE";"Fischer";"Zagreb";"SL";0,5;"PARTLY CLOUDY";"COMPACT";3
"963";1;"NOEL Clement";1997;"FRA";"Dynastar";"Chamonix1";"SL";0,5;"PARTLY CLOUDY";"COMPACT";100
"964";2;"ZENHAEUSERN Ramon";1992;"SUI";"Rossignol";"Chamonix1";"SL";0,5;"PARTLY CLOUDY";"COMPACT";80
"965";3;"SCHWARZ Marco";1995;"AUT";"Atomic";"Chamonix1";"SL";0,5;"PARTLY CLOUDY";"COMPACT";60
"966";4;"AERNI Luca";1993;"SUI";"Fischer";"Chamonix1";"SL";0,5;"PARTLY CLOUDY";"COMPACT";50
"967";5;"MATT Michael";1993;"AUT";"Rossignol";"Chamonix1";"SL";0,5;"PARTLY CLOUDY";"COMPACT";45
"968";6;"MEILLARD Loic";1996;"SUI";"Rossignol";"Chamonix1";"SL";0,5;"PARTLY CLOUDY";"COMPACT";40
"969";7;"KHOROSHILOV Alexander";1984;"RUS";"Fischer";"Chamonix1";"SL";0,5;"PARTLY CLOUDY";"COMPACT";36
"970";8;"PINTURAULT Alexis";1991;"FRA";"Head";"Chamonix1";"SL";0,5;"PARTLY CLOUDY";"COMPACT";32
"971";9;"FOSS-SOLEVAAG Sebastian";1991;"NOR";"Voelkl";"Chamonix1";"SL";0,5;"PARTLY CLOUDY";"COMPACT";29
"972";10;"HIRSCHBUEHL Christian";1990;"AUT";"Rossignol";"Chamonix1";"SL";0,5;"PARTLY CLOUDY";"COMPACT";26
"973";11;"RYDING Dave";1986;"GBR";"Fischer";"Chamonix1";"SL";0,5;"PARTLY CLOUDY";"COMPACT";24
"974";12;"HADALIN Stefan";1995;"SLO";"Rossignol";"Chamonix1";"SL";0,5;"PARTLY CLOUDY";"COMPACT";22
"975";13;"PERTL Adrian";1996;"AUT";"Voelkl";"Chamonix1";"SL";0,5;"PARTLY CLOUDY";"COMPACT";20
"976";13;"MUFFAT-JEANDET Victor";1989;"FRA";"Salomon";"Chamonix1";"SL";0,5;"PARTLY CLOUDY";"COMPACT";20
"977";15;"ZUBCIC Filip";1993;"CRO";"Atomic";"Chamonix1";"SL";0,5;"PARTLY CLOUDY";"COMPACT";16
"978";15;"YULE Daniel";1993;"SUI";"Fischer";"Chamonix1";"SL";0,5;"PARTLY CLOUDY";"COMPACT";16
"979";17;"STRASSER Linus";1992;"GER";"Rossignol";"Chamonix1";"SL";0,5;"PARTLY CLOUDY";"COMPACT";14
