"C5W
Audi
FIS Ski World Cup";"AUDI FIS SKI WORLD CUP 2020/21
Val Gardena / Groden (ITA)";LONGINES
F//s;"2nd Men's Downhill
OFFICIAL RESULTS";"SAT 19 DEC 2020
Start Time 11:45"
Number of Competitors: 61, Number of NSAs: 13
: 0.00
Rank;Bib;"FIS
Code";Name;YB;"NSA
Code";Time;Difference;"Distance
(m)";Ski
26;42;53975;HEMETSBERGER Daniel;1991;AUT;2:03.49;2.04;53.61;Fischer
27;20;192746;THEAUX Adrien;1984;FRA;2:03.53;2.08;54.64;Head
28;18;293006;INNERHOFER Christof;1984;ITA;2:03.59;2.14;56.19;Rossignol
29;50;6531520;MORSE Sam;1996;USA;2:03.66;2.21;57.99;Fischer
30;4;54005;STRIEDINGER Otmar;1991;AUT;2:03.71;2.26;59.28;Salomon
31;31;512039;ROULIN Gilles;1994;SUI;2:03.75;2.30;60.31;Head
32;35;202525;SCHMID Manuel;1993;GER;2:03.88;2.43;63.65;Rossignol
33;24;202059;FERSTL Josef;1988;GER;2:03.99;2.54;66.48;Head
34;32;6290985;BUZZI Emanuele;1994;ITA;2:04.15;2.70;70.57;Head
35;23;293550;MARSAGLIA Matteo;1985;ITA;2:04.23;2.78;72.62;Fischer
36;46;6190179;ALPHAND Nils;1996;FRA;2:04.36;2.91;75.93;Head
37;57;202762;JOCHER Simon;1996;GER;2:04.40;2.95;76.95;Head
38;39;194190;ROGER Brice;1990;FRA;2:04.42;2.97;77.46;Rossignol
39;43;103271;THOMSEN Benjamin;1987;CAN;2:04.48;3.03;78.99;Head
40;45;194650;PICCARD Roy;1993;FRA;2:04.55;3.10;80.77;Rossignol
41;36;194542;GIRAUD MOINE Valentin;1992;FRA;2:04.71;3.26;84.83;Salomon
42;28;202345;SCHWAIGER Dominik;1991;GER;2:04.72;3.27;85.08;Head
43;21;50742;REICHELT Hannes;1980;AUT;2:04.76;3.31;86.09;Salomon
44;47;501987;MONSEN Felix;1994;SWE;2:04.77;3.32;86.35;Atomic
