"<3880
;61;380377;KOLEGA Samuel;1999;CRO;59.11;(49);;;;Rossignol
DID NOT FINISH RUN 1: 21 competitors
1;511996;YULE Daniel;1993;SUI;Fischer
11;480736;KHOROSHILOV Alexander;1984;RUS;Fischer
15;6293171;VINATZER Alex;1999;ITA;Nordica
30;293098;RAZZOLI Giuliano;1984;ITA;Fischer
32;380361;RODES Istok;1996;CRO;Atomic
39;6291631;LIBERATORE Federico;1995;ITA;Voelkl
40;6291574;SALA Tommaso;1995;ITA;Dynastar
44;320266;JUNG Donghyun;1988;KOR;Rossignol
47;6531936;WINTERS Luke;1997;USA;Rossignol
50;502433;HANSSON William;2001;SWE;Rossignol
51;6190497;LETITRE Theo;1997;FRA;Rossignol
54;561313;DVORNIK Aljaz;1995;SLO;Atomic
57;202908;HIMMELSBACH Fabian;1999;GER;Rossignol
59;512120;von GRUENIGEN Noel;1995;SUI;Fischer
60;6291911;VACCARI Hans;1996;ITA;Nordica
63;390044;LAINE Tormis;2000;EST;Kaestle
65;60256;VERBEKE Tom;1997;BEL;
66;221223;MAJOR Billy;1996;GBR;Fischer
67;202485;KETTERER David;1993;GER;Atomic
68;320389;HONG Dongkwan;1995;KOR;
69;221236;TAYLOR Laurie;1996;GBR;Fischer
Jury;;;Technical Data;;;
"FIS Technical Delegate
Referee
Assistant Referee
Chief of Race";"GSODAM Thomas
WALDNER Markus
COUDER Emmanuel
TRANINGER Martin";"AUT
FIS
FIS
AUT";"Course Name
Start Altitude
Finish Altitude
Vertical Drop
Homologation Number";;"FIS Hermann Maier Weltcupstrecke
1160m
960m
200m
13835/11/20";
Race Information Run 1;;;Race Information Run 2;;;
"Course Setter
Gates/Turning Gates
Start Time";"SALEJ Rok
67/66
9:30";SLO;"Course Setter
Gates/Turning Gates
Start Time";"MITHASSEL Christian
68/66
12:30";;NOR
Forerunners:;;;;;;
Run 1:;F1 - KOGLER Tobias;AUT;F2 - ZEHENTNER David;AUT;F3 - KURZ Niklas;AUT
Run 2:;F1 - KOGLER Tobias;AUT;F2 - ZEHENTNER David;AUT;F3 - KURZ Niklas;AUT
Conditions on course:;;;;;;;
Run 1;MOSTLY CLOUDY;Snow:HARD;Temperature - Start:;-7°C;Temperature - Finish:;-6°C
Run 2;SNOW;Snow:HARD;Temperature - Start:;-6°C;Temperature - Finish:;-5°C
"Legend:
YB	Year of Birth";;
SAT 16 JAN 2021 / Flachau (AUT) / 0102;;Page 2/2
Data Processing by LONGINES;www.fis-ski.com;LONGINES Timing
Time : 13:29
Generation date : SAT 16 JAN 2021
Document: C73C 1.0
