Rank;Bib;"FISCode";Name;YB;"NSACode";Run 1;;;Run 2;;;Total;Race;;;;;;;;;;;;;;;Diff.;Points;Ski;;;;;;Time Rank;;;Time Rank;;;;;;
1;5;512269;ODERMATT Marco;1997;SUI;1;06.20;(4);1;06.67;(1);2:12.87;;0.00;Stoeckli
2;2;512182;MEILLARD Loic;1996;SUI;1;05.59;(1);1;08.34;(26);2:13.93;1.06;8.06;Rossignol
3;11;54027;BRENNSTEINER Stefan;1991;AUT;1;06.11;(3);1;07.85;(15);2:13.96;1.09;8.29;Fischer
4;4;194364;PINTURAULT Alexis;1991;FRA;1;05.70;(2);1;08.28;(25);2:13.98;1.11;8.44;Head
5;6;194495;FAIVRE Mathieu;1992;FRA;1;06.23;(5);1;07.82;(14);2:14.05;1.18;8.97;Head
6;3;380335;ZUBCIC Filip;1993;CRO;1;06.52;(8);1;07.68;(11);2:14.20;1.33;10.11;Atomic
7;13;422304;KRISTOFFERSEN Henrik;1994;NOR;1;06.83;(12);1;07.38;(7);2:14.21;1.34;10.19;Rossignol
8;16;54063;FELLER Manuel;1992;AUT;1;06.75;(10);1;07.57;(9);2:14.32;1.45;11.02;Atomic
9;9;511852;CAVIEZEL Gino;1992;SUI;1;06.42;(6);1;07.97;(19);2:14.39;1.52;11.55;Dynastar
10;19;202437;LUITZ Stefan;1992;GER;1;07.04;(15);1;07.36;(6);2:14.40;1.53;11.63;Rossignol
11;8;202597;SCHMID Alexander;1994;GER;1;06.47;(7);1;08.08;(22);2:14.55;1.68;12.77;Head
12;12;194935;FAVROT Thibaut;1994;FRA;1;06.60;(9);1;07.97;(19);2:14.57;1.70;12.92;Dynastar
13;17;54031;LEITINGER Roland;1991;AUT;1;06.98;(14);1;07.65;(10);2:14.63;1.76;13.38;Salomon
14;14;421669;NESTVOLD-HAUGEN Leif Kristian;1987;NOR;1;06.77;(11);1;07.94;(17);2:14.71;1.84;13.99;Rossignol
15;1;990116;de ALIPRANDINI Luca;1990;ITA;1;07.63;(18);1;07.34;(5);2:14.97;2.10;15.96;Salomon
16;20;103729;READ Erik;1991;CAN;1;07.33;(17);1;07.70;(12);2:15.03;2.16;16.42;Atomic
17;35;54252;RASCHNER Dominik;1994;AUT;1;08.04;(26);1;07.03;(3);2:15.07;2.20;16.72;Rossignol
18;27;561322;HADALIN Stefan;1995;SLO;1;08.37;(29);1;07.02;(2);2:15.39;2.52;19.16;Rossignol
19;32;422278;WINDINGSTAD Rasmus;1993;NOR;1;07.97;(24);1;07.52;(8);2:15.49;2.62;19.92;Stoeckli
19;25;103865;PHILP Trevor;1992;CAN;1;08.35;(28);1;07.14;(4);2:15.49;2.62;19.92;Rossignol
19;22;291318;TONETTI Riccardo;1989;ITA;1;07.29;(16);1;08.20;(24);2:15.49;2.62;19.92;Blizzard
22;7;561244;KRANJEC Zan;1992;SLO;1;07.67;(19);1;07.90;(16);2:15.57;2.70;20.52;Rossignol
23;10;511896;MURISIER Justin;1992;SUI;1;06.93;(13);1;08.68;(29);2:15.61;2.74;20.83;Head
24;21;193967;MUFFAT-JEANDET Victor;1989;FRA;1;07.71;(20);1;08.16;(23);2:15.87;3.00;22.80;Salomon
25;30;194873;SARRAZIN Cyprien;1994;FRA;1;08.20;(27);1;07.74;(13);2:15.94;3.07;23.34;Rossignol
26;18;700830;ZAMPA Adam;1990;SVK;1;08.01;(25);1;07.98;(21);2:15.99;3.12;23.72;Salomon
27;23;990048;BORSOTTI Giovanni;1990;ITA;1;07.78;(21);1;08.37;(27);2:16.15;3.28;24.93;Rossignol
28;36;481730;KUZNETSOV Ivan;1996;RUS;1;07.96;(23);1;08.56;(28);2:16.52;3.65;27.75;Atomic
29;47;54368;BORGNAES Christian;1996;AUT;1;08.66;(30);1;07.95;(18);2:16.61;3.74;28.43;Salomon
30;31;6190403;NOEL Clement;1997;FRA;1;07.92;(22);1;12.41;(30);2:20.33;7.46;56.71;Dynastar
Conditions on course:;;;;;;
Run 1;SUNNY;Snow:;GRANULAR;Temperature - Start: 1°C;Temperature - Finish:;4°C
Run 2;SUNNY;Snow:;SPRING CONDITIONS;Temperature - Start: 4°C;Temperature - Finish:;0°C
