TELEPASS FIS ALPINE WORLD SKI CHAMPIONSHIPS 2021
Cortina d'Ampezzo (ITA)
Men's Downhill
LONGINES
SUN 14 FEB 2021
OFFICIAL RESULTS
Start Time 11:00
Number of Competitors: 42, Number of NSAs: 17
Rank;Bib;"FIS
Code";Name;YB;"NSA
Code";Time;Difference;"Distance";Points;Ski
1;1;53980;KRIECHMAYR Vincent;1991;AUT;1:37.79;;;0.00;Head
2;2;200379;SANDER Andreas;1989;GER;1:37.80;0.01;0.27;0.13;Atomic
3;7;511383;FEUZ Beat;1987;SUI;1:37.97;0.18;4.80;2.30;Head
4;18;512269;ODERMATT Marco;1997;SUI;1:38.44;0.65;17.23;8.31;Stoeckli
4;3;291459;PARIS Dominik;1989;ITA;1:38.44;0.65;17.23;8.31;Nordica
6;15;293006;INNERHOFER Christof;1984;ITA;1:38.69;0.90;23.80;11.50;Rossignol
7;12;194858;ALLEGRE Nils;1994;FRA;1:38.76;0.97;25.63;12.40;Salomon
8;17;421483;JANSRUD Kjetil;1985;NOR;1:38.81;1.02;26.94;13.04;Head
9;11;511313;JANKA Carlo;1986;SUI;1:38.87;1.08;28.51;13.81;Rossignol
10;21;422403;ROEA Henrik;1995;NOR;1:38.89;1.10;29.03;14.06;Nordica
10;4;6530104;BENNETT Bryce;1992;USA;1:38.89;1.10;29.03;14.06;Fischer
12;14;530874;GANONG Travis;1988;USA;1:39.03;1.24;32.68;15.85;Atomic
13;10;53817;FRANZ Max;1989;AUT;1:39.04;1.25;32.94;15.98;Fischer
14;13;51215;BAUMANN Romed;1986;GER;1:39.09;1.30;34.24;16.62;Salomon
15;22;561216;KLINE Bostjan;1991;SLO;1:39.24;1.45;38.13;18.53;Nordica
16;9;191740;CLAREY Johan;1981;FRA;1:39.29;1.50;39.43;19.17;Head
17;23;501987;MONSEN Felix;1994;SWE;1:39.31;1.52;39.95;19.43;Atomic
18;6;202535;DRESSEN Thomas;1993;GER;1:39.47;1.68;44.08;21.47;Rossignol
19;19;54005;STRIEDINGER Otmar;1991;AUT;1:39.63;1.84;48.20;23.52;Salomon
20;16;934643;GOLDBERG Jared;1991;USA;1:39.74;1.95;51.03;24.93;Head
21;29;104531;CRAWFORD James;1997;CAN;1:39.78;1.99;52.05;25.44;Head
22;26;202345;SCHWAIGER Dominik;1991;GER;1:39.90;2.11;55.13;26.97;Head
23;31;561310;HROBAT Miha;1995;SLO;1:39.99;2.20;57.43;28.12;Atomic
24;24;293550;MARSAGLIA Matteo;1985;ITA;1:40.18;2.39;62.27;30.55;Fischer
25;20;6190176;BAILET Matthieu;1996;FRA;1:40.22;2.43;63.28;31.06;Salomon
26;25;104468;READ Jeffrey;1997;CAN;1:40.34;2.55;66.33;32.60;Atomic
27;36;350095;PFIFFNER Marco;1994;LIE;1:41.05;3.26;84.20;41.67;Fischer
28;38;370031;ALESSANDRIA Arnaud;1993;MON;1:41.57;3.78;97.13;48.32;Salomon
29;32;104096;THOMPSON Broderick;1994;CAN;1:41.96;4.17;106.74;53.30;Head
30;40;240148;SZOLLOS Barnabas;1998;ISR;1:42.46;4.67;118.96;59.69;Kaestle
31;37;700878;BENDIK Martin;1993;SVK;1:43.02;5.23;132.50;66.85;Atomic
32;41;30422;VALLECILLO Juan Pablo;1999;ARG;1:43.48;5.69;143.51;72.73;
33;39;170159;VORRE Marcus;1998;DEN;1;45.17;7.38;183.15;94.33;Atomic
34;42;240142;SZOLLOS Benjamin;1996;ISR;1;49.71;11.92;283.58;152.37;Kaestle
DID NOT FINISH: 8 competitors
5;53902;MAYER Matthias;1990;AUT;Head
8;194167;MUZATON Maxence;1990;FRA;Rossignol
27;104272;SEGER Brodie;1995;CAN;Atomic
28;6291625;SCHIEDER Florian;1995;ITA;Atomic
30;512124;HINTERMANN Niels;1995;SUI;Atomic
33;502230;SUNDIN Olle;1997;SWE;Head
34;492063;ETXEZARRETA Adur;1996;ESP;Head
35;561397;NARALOCNIK Nejc;1999;SLO;
SUN 14 FEB 2021 / Cortina d'Ampezzo (ITA) / 0074___________________________________________________________________________________________________________Page 1/2
Data Processing by LONGINES_____________________________________________www.fis-ski.com_______________________________________________________LONGINES Timing
Generation date : SUN 14 FEB 2021	Time : 12:53	Document: C73A 1.0
t Telepass
TELEPASS FIS ALPINE WORLD SKI CHAMPIONSHIPS 2021
Cortina d'Ampezzo (ITA)
LONGINES
Men's Downhill
SUN 14 FEB 2021
OFFICIAL RESULTS
Start Time 11:00
Number of Competitors: 42, Number of NSAs: 17
;;FIS;;NSA;Distance;Race
Rank;Bib;Name;YB;;Time Difference;Ski
;;Code;;Code;(m);Points
Jury;;;Technical Data;
FIS Technical Delegate;BIZJAK Peter;SLO;Course Name;Vertigine
Referee;WALDNER Markus;FIS;Start Altitude;2400m
Assistant Referee;TRINKL Hannes;FIS;Finish Altitude;1560m
Chief of Race;CONSTANTINI Denis;ITA;Vertical Drop;840m
