FIS Ski Weltcup
Finale Lenzerheide
Audi FIS Ski Weltcup
Finale Lenzerheide 2021
LONGINES
Lenzerheide sw/ssski
SRF
EUR(O)VISION
SPORT
graubynden
CEOD
Audi
FIS Ski World Cup
AUDI FIS SKI WORLD CUP FINALS 2020/21
Lenzerheide (SUI)
10th Men's Giant Slalom
OFFICIAL RESULTS
LONGINES
SAT 20 MAR 2021
Start Time 12:00
: 0.00
Number of Competitors: 22, Number of NSAs: 10
Rank;Bib;"FIS
Code";Name;YB;"NSA
Code";Run 1;;;Run 2;;;Total;Race;;
;;;;;;;;;;;;;Diff.;Points;Ski
;;;;;;Time Rank;;;Time Rank;;;;;;
1;1;194364;PINTURAULT Alexis;1991;FRA;1;01.19;(1);1;14.56;(13);2:15.75;;0.00;Head
2;4;380335;ZUBCIC Filip;1993;CRO;1;02.23;(3);1;13.72;(3);2:15.95;0.20;1.49;Atomic
3;6;194495;FAIVRE Mathieu;1992;FRA;1;02.72;(8);1;13.24;(1);2:15.96;0.21;1.56;Head
4;12;54027;BRENNSTEINER Stefan;1991;AUT;1;02.00;(2);1;14.21;(12);2:16.21;0.46;3.42;Fischer
5;9;990116;de ALIPRANDINI Luca;1990;ITA;1;02.37;(4);1;14.02;(9);2:16.39;0.64;4.76;Salomon
6;8;194935;FAVROT Thibaut;1994;FRA;1;02.50;(5);1;14.04;(10);2:16.54;0.79;5.88;Dynastar
7;14;511852;CAVIEZEL Gino;1992;SUI;1;02.83;(9);1;13.92;(5);2:16.75;1.00;7.44;Dynastar
8;10;422304;KRISTOFFERSEN Henrik;1994;NOR;1;02.89;(13);1;13.93;(6);2:16.82;1.07;7.96;Rossignol
9;15;421669;NESTVOLD-HAUGEN Leif Kristian;1987;NOR;1;02.85;(10);1;13.99;(8);2:16.84;1.09;8.11;Rossignol
10;18;202437;LUITZ Stefan;1992;GER;1;03.10;(14);1;13.90;(4);2:17.00;1.25;9.30;Rossignol
11;3;512269;ODERMATT Marco;1997;SUI;1;02.85;(10);1;14.18;(11);2:17.03;1.28;9.52;Stoeckli
12;2;561244;KRANJEC Zan;1992;SLO;1;02.67;(7);1;14.63;(14);2:17.30;1.55;11.53;Rossignol
13;13;54320;SCHWARZ Marco;1995;AUT;1;03.37;(15);1;13.97;(7);2:17.34;1.59;11.83;Atomic
14;21;990048;BORSOTTI Giovanni;1990;ITA;1;03.93;(17);1;13.42;(2);2:17.35;1.60;11.90;Rossignol
15;11;202597;SCHMID Alexander;1994;GER;1;02.88;(12);1;14.73;(16);2:17.61;1.86;13.84;Head
16;5;511896;MURISIER Justin;1992;SUI;1;02.56;(6);1;15.09;(19);2:17.65;1.90;14.14;Head
17;20;700830;ZAMPA Adam;1990;SVK;1;04.11;(18);1;14.63;(14);2:18.74;2.99;22.25;Salomon
18;19;54063;FELLER Manuel;1992;AUT;1;04.21;(19);1;14.77;(17);2:18.98;3.23;24.03;Atomic
19;22;54628;FEURSTEIN Lukas;2001;AUT;1;04.32;(20);1;14.96;(18);2:19.28;3.53;26.26;Head
DID NOT FINISH RUN 2: 1 competitor
16	103729 READ Erik
1991
CAN
Atomic
DID NOT FINISH RUN 1: 2 competitors
7	512182;MEILLARD Loic;1996;SUI;;;Rossignol
17	54031;LEITINGER Roland;1991;AUT;;;Salomon
Jury;;;;Technical Data;;
FIS Technical Delegate;TUAIRE Bruno;FRA;;Course Name;;Beltrametti
Referee;WALDNER Markus;FIS;;Start Altitude;;1920m
Assistant Referee;TRINKL Hannes;FIS;;Finish Altitude;;1530m
Chief of Race;BRUGGER Manuel;SUI;;Vertical Drop;;390m
;;;;Homologation Number;;11564/12/14
Race Information Run 1;;;;Race Information Run 2;;
Course Setter;VELEZ Romain;FRA;;Course Setter;WITTEVEEN Einar;NOR
Gates/Turning Gates;45/43;;;Gates/Turning Gates;49/47;
Start Time;9:00;;;Start Time;12:00;
Forerunners:;;;;;;
Run 1:;F1 - ROULIN Gilles;SUI;F2 - REYMOND Marco;SUI;F3 - SIMONET Sandro;SUI
Run 2:;F1 - ROULIN Gilles;SUI;F2 - REYMOND Marco;SUI;F3 - SIMONET Sandro;SUI
Conditions on course:;;;;;;;
Run 1;MOSTLY CLOUDY;Snow:;HARD;Temperature - Start:;-11°C;Temperature - Finish:;-9°C
Run 2;MOSTLY CLOUDY;Snow:;HARD;Temperature - Start:;-10°C;Temperature - Finish:;-8°C
Legend:
YB Year of Birth
SAT 20 MAR 2021 / Lenzerheide (SUI) / 0116______________________________________________________________________________________________________________________Page 1/1
Data Processing by LONGINES_______________________________________________www.fis-ski.com__________________________________________________________LONGINES Timing
Generation date : SAT 20 MAR 2021	Time : 12:37	Document: C73C 1.0
