Rank;Bib;"FISCode";Name;YB;"NSACode";;Time;Difference;"Distance(m)";Ski
1;5;511383;FEUZ Beat;1987;SUI;1;53.77;;;Head
2;7;53902;MAYER Matthias;1990;AUT;1;53.93;0.16;4.65;Head
3;9;291459;PARIS Dominik;1989;ITA;1;54.33;0.56;16.22;Nordica
4;11;191740;CLAREY Johan;1981;FRA;1;54.66;0.89;25.71;Head
5;6;200379;SANDER Andreas;1989;GER;1;54.72;0.95;27.43;Atomic
6;15;511313;JANKA Carlo;1986;SUI;1;55.14;1.37;39.41;Rossignol
7;10;6190176;BAILET Matthieu;1996;FRA;1;55.27;1.50;43.10;Salomon
8;2;51215;BAUMANN Romed;1986;GER;1;55.28;1.51;43.38;Salomon
9;3;53980;KRIECHMAYR Vincent;1991;AUT;1;55.39;1.62;46.50;Head
10;8;194858;ALLEGRE Nils;1994;FRA;1;55.41;1.64;47.06;Salomon
11;14;530874;GANONG Travis;1988;USA;1;55.52;1.75;50.17;Atomic
12;26;202345;SCHWAIGER Dominik;1991;GER;1;55.58;1.81;51.87;Head
13;21;202059;FERSTL Josef;1988;GER;1;55.65;1.88;53.84;Head
13;20;54005;STRIEDINGER Otmar;1991;AUT;1;55.65;1.88;53.84;Salomon
15;19;194167;MUZATON Maxence;1990;FRA;1;55.82;2.05;58.62;Rossignol
16;22;50742;REICHELT Hannes;1980;AUT;1;56.01;2.24;63.95;Salomon
17;23;54157;DANKLMAIER Daniel;1993;AUT;1;56.24;2.47;70.38;Atomic
18;1;421483;JANSRUD Kjetil;1985;NOR;1;56.28;2.51;71.49;Head
19;24;934643;GOLDBERG Jared;1991;USA;1;56.34;2.57;73.16;Head
20;25;293550;MARSAGLIA Matteo;1985;ITA;1;56.40;2.63;74.83;Fischer
21;27;194190;ROGER Brice;1990;FRA;1;56.80;3.03;85.92;Rossignol
22;12;293006;INNERHOFER Christof;1984;ITA;1;56.81;3.04;86.20;Rossignol
23;30;194368;RAFFORT Nicolas;1991;FRA;1;56.84;3.07;87.02;Rossignol
24;18;6530104;BENNETT Bryce;1992;USA;1;56.87;3.10;87.85;Fischer
25;17;512042;KRYENBUEHL Urs;1994;SUI;1;57.17;3.40;96.11;Fischer
26;16;561255;CATER Martin;1992;SLO;1;57.89;4.12;115.75;Stoeckli
27;28;192746;THEAUX Adrien;1984;FRA;1;58.10;4.33;121.43;Head
28;29;511981;WEBER Ralph;1993;SUI;1;58.70;4.93;137.56;Head
Conditions on course:;;;
PARTLY CLOUDY;Snow: HARD;Temperature - Start: 2°C;Temperature - Finish: 3°C
