I inter
18;1;421483;JANSRUD Kjetil;1985;NOR;1;56.28;2.51;71.49;Head
19;24;934643;GOLDBERG Jared;1991;USA;1;56.34;2.57;73.16;Head
20;25;293550;MARSAGLIA Matteo;1985;ITA;1;56.40;2.63;74.83;Fischer
21;27;194190;ROGER Brice;1990;FRA;1;56.80;3.03;85.92;Rossignol
22;12;293006;INNERHOFER Christof;1984;ITA;1;56.81;3.04;86.20;Rossignol
23;30;194368;RAFFORT Nicolas;1991;FRA;1;56.84;3.07;87.02;Rossignol
24;18;6530104;BENNETT Bryce;1992;USA;1;56.87;3.10;87.85;Fischer
25;17;512042;KRYENBUEHL Urs;1994;SUI;1;57.17;3.40;96.11;Fischer
26;16;561255;CATER Martin;1992;SLO;1;57.89;4.12;115.75;Stoeckli
27;28;192746;THEAUX Adrien;1984;FRA;1;58.10;4.33;121.43;Head
28;29;511981;WEBER Ralph;1993;SUI;1;58.70;4.93;137.56;Head
DID NOT FINISH: 2 competitors
4;53817 FRANZ Max;1989;AUT;Fischer
13;6530319 COCHRAN-SIEGLE Ryan;1992;USA;Rossignol
DID NOT START: 25 competitors
31;512269;ODERMATT Marco;1997;SUI;Stoeckli
32;512039;ROULIN Gilles;1994;SUI;Head
33;6290985;BUZZI Emanuele;1994;ITA;Head
34;422403;ROEA Henrik;1995;NOR;Nordica
35;202525;SCHMID Manuel;1993;GER;Rossignol
36;512038;ROGENTIN Stefan;1994;SUI;Fischer
37;501987;MONSEN Felix;1994;SWE;Atomic
38;561216;KLINE Bostjan;1991;SLO;Nordica
39;53975;HEMETSBERGER Daniel;1991;AUT;Fischer
40;54009;WALDER Christian;1991;AUT;Salomon
FRI 22 JAN 2021 / Kitzbuhel (AUT) / 0100___________________________________________________________________________________________________________________________Page 1/2
Data Processing by LONGINES________________________________________________www.fis-ski.com___________________________________________________________LONGINES Timing
Generation date : FRI 22 JAN 2021	Time : 14:31	Document: C73A 1.0
www.hahnenkamm.com
Qosser
LEITNER
trilux [JJ] alive dgjjmy orld
KitaSki
EBU imG WWP
LONGINES
SKI CLASSICS
F/l/s	ft
<3880
Audi
FIS Ski World Cup
AUDI FIS SKI WORLD CUP 2020/21
_________Kitzbuhel (AUT)_________
4th Men's Downhill
OFFICIAL RESULTS
LONGINES
FRI 22 JAN 2021
Start Time 11:30
Number of Competitors: 55, Number of NSAs: 12
applied: 0.00
Rank;Bib;"FIS
Code";Name;YB;"NSA
Code";"Distance
Time Difference
(m)";Ski
;41;6290393;CAZZANIGA Davide;1992;ITA;;Atomic
;42;54080;NEUMAYER Christopher;1992;AUT;;Salomon
;43;104468;READ Jeffrey;1997;CAN;;Atomic
;44;103271;THOMSEN Benjamin;1987;CAN;;Head
;45;104531;CRAWFORD James;1997;CAN;;Head
;46;502004;KOELL Alexander;1990;SWE;;Atomic
;47;194650;PICCARD Roy;1993;FRA;;Rossignol
;48;511847;MANI Nils;1992;SUI;;Stoeckli
;49;202762;JOCHER Simon;1996;GER;;Head
;50;561310;HROBAT Miha;1995;SLO;;Atomic
;51;6531520;MORSE Sam;1996;USA;;Fischer
;52;104096;THOMPSON Broderick;1994;CAN;;Head
;53;6291625;SCHIEDER Florian;1995;ITA;;Atomic
;54;221117;GOWER Jack;1994;GBR;;Salomon
;55;700878;BENDIK Martin;1993;SVK;;Atomic
Jury;;;Technical Data;
FIS Technical Delegate;ADELSBERGER Markus;AUT;Course Name;Streif
Referee;COUDER Emmanuel;FIS;Start Altitude;1665m
Assistant Referee;TRINKL Hannes;FIS;Finish Altitude;805m
Chief of Race;WEINHANDL Mario;AUT;Vertical Drop;860m
;;;Course Length;3312m
;;;Homologation Number;12643/12/17
Race Information;;;;
Course Setter	TRINKL	Hannes	FIS
Gates	32
Start Time	11:30
Forerunners:;;;;;;
;F1 - KLINGLER Felix;GER;F2 - JACHMANN Valentin;GER;F3 - HOFER Nicolas;AUT
Conditions on course:;;;
PARTLY CLOUDY;Snow: HARD;Temperature - Start: 2°C;Temperature - Finish: 3°C
Legend:
YB	Year of Birth
FRI 22 JAN 2021 / Kitzbuhel (AUT) / 0100___________________________________________________________________________________________________________________________Page 2/2
Data Processing by LONGINES________________________________________________www.fis-ski.com___________________________________________________________LONGINES Timing
Generation date : FRI 22 JAN 2021	Time : 14:31	Document: C73A 1.0
www.hahnenkamm.com
Qosser
LEITNER
trilux [JJ] alive dgjjmy orld
KitaSki
EBU imG WWP
LONGINES
SKI CLASSICS
F/l/s	ft
