65. Internationale Adelbodner Skitage
8. I 9. I 10. Januar 2021
GHOST EDITION
56;410364;FEASEY Willis;1992;NZL;;
59;492192;ORTEGA Albert;1998;ESP;;Rossignol
60;40612;SCOTT Alec;1997;IRL;;
62;481897;ALEKHIN Nikita;1998;RUS;;Rossignol
DID NOT START RUN 1: 1 competitor;;;;;;
28;512274;BISSIG Semyel;1998;SUI;;Atomic
Jury;;;;;Technical Data;
FIS Technical Delegate;;GUT Marco;SUI;;Course Name;Chuenisbargli
Referee;;WALDNER Markus;FIS;;Start Altitude;1730m
Assistant Referee;;COUDER Emmanuel;FIS;;Finish Altitude;1310m
Chief of Race;;PIEREN Hans;SUI;;Vertical Drop;420m
;;;;;Homologation Number;13614/09/20
Race Information Run 1;;;;;Race Information Run 2;
Course Setter;;GRASIC Dusan;CAN;;Course Setter	LORENZI Roberto;ITA
Gates/Turning Gates
Start Time
53/50
10:30
Gates/Turning Gates
Start Time
53/50
13:30
Forerunners:;;;;;;
Run 1:;F1 - FISCHBACHER Marco;SUI;F2 - STOLLER Sven;SUI;F3 - KUONEN Lars;SUI
Run 2:;F1 - FISCHBACHER Marco;SUI;F2 - JAMPEN Nicola;SUI;F3 - KUONEN Lars;SUI
Conditions on course:;;;;;;
Run 1;	SUNNY;Snow:HARD;Temperature - Start:;-9°C;Temperature - Finish:;-8°C
Run 2;	SUNNY;Snow:HARD;Temperature - Start:;-6°C;Temperature - Finish:;-5°C
Legend:
YB Year of Birth
SAT 9 JAN 2021 / Adelboden (SUI) / 0094_____________________________________________________________________________________________________________________Page 2/2
Data Processing by LONGINES_____________________________________________www.fis-ski.com________________________________________________________LONGINES Timing
Generation date : SAT 9 JAN 2021	Time : 14:29	Document: C73C 1.0
EVENT SPONSORS
SlV/SSSki $ swisscom MIGROS
Genossenschaft Mlgros Aare
ADELBODENLENK
...DANK!
MEMBER OF
SKI CLASSICS
