TELEPASS FIS ALPINE WORLD SKI CHAMPIONSHIPS 2021
Cortina d'Ampezzo (ITA)
Men's Super-G
OFFICIAL RESULTS
LONGINES
THU 11 FEB 2021
Start Time 13:00
Number of Competitors: 56, Number of NSAs: 24
Rank;Bib;"FIS
Code";Name;YB;"NSA
Code";Time;Difference;"Distance
(m)";Points;Ski
Assistant Referee;TRINKL Hannes;FIS;Finish Altitude;1560m
Chief of Race;CONSTANTINI Denis;ITA;Vertical Drop;630m
Start Referee;SEMPLICI Elena;ITA;Course Length;2075m
Finish Referee;RIZZO Giovanna;ITA;Homologation Number;13108/02/19
Race Information;;;;
Course Setter;GHIDONI Alberto;ITA;;
Gates/Turning Gates;41/38;;;
Start Time;13:00;;;
Forerunners:;;;;;;
;F1 - FREDERICO Simoni;ITA;F2 - MOLTENI Nicolo;ITA;F3 - ZAZZI Pietro;ITA
Conditions on course:;;;;;
SUNNY;Snow: HARD;Temperature - Start:;-1°C;Temperature - Finish:; -4°C
Legend:
YB Year of Birth
THU 11 FEB 2021 / Cortina d'Ampezzo (ITA) / 0068___________________________________________________________________________________________________________Page 2/2
Data Processing by LONGINES_____________________________________________www.fis-ski.com_______________________________________________________LONGINES Timing
Generation date : THU 11 FEB 2021	Time : 14:51	Document: C73A 1.0
