5
DECEMBER
GOOD
Audi
FIS Ski WorLd Cup
s.caterina
FIS SKI
WORLD CUP
GOOD
Audi
FIS Ski WorLd Cup
AUDI FIS SKI WORLD CUP 2020/21
Santa Caterina Valfurva (ITA)
3rd Men's Giant Slalom
OFFICIAL RESULTS
LONGINES
MON 7 DEC 2020
Start Time 13:00
: 0.00
Number of Competitors: 69, Number of NSAs: 21
Rank;Bib;"FIS
Code";Name;YB;"NSA
Code";Run 1;;;Run 2;;;Total;Race;;
;;;;;;;;;;;;;Diff.;Points;Ski
;;;;;;Time Rank;;;Time Rank;;;;;;
Generation date : MON 7 DEC 2020;;;Time;: 13:53;;;;Document: C73C 1.0
"GOOD
Audi
FIS Ski World Cup";"AUDI FIS SKI WORLD CUP 2020/21
Santa Caterina Valfurva (ITA)";"LONGINES
""-nF’ '"
Fys;"3rd Men's Giant Slalom
OFFICIAL RESULTS";"MON 7 DEC 2020
Start Time 13:00"
applied: 0.00
Number of Competitors: 69, Number of NSAs: 21
Rank
Bib
FIS Name
Code Name
39;481730;KUZNETSOV Ivan;1996;RUS
31;53980;KRIECHMAYR Vincent;1991;AUT
37;54027;BRENNSTEINER Stefan;1991;AUT
59;150644;KRYZL Krystof;1986;CZE
60;501898;ROENNGREN Mattias;1993;SWE
38;294890;NANI Roberto;1988;ITA
32;421483;JANSRUD Kjetil;1985;NOR
49;481103;ANDRIENKO Aleksander;1990;RUS
45;6190197;FALGOUX Remy;1996;FRA
34;6190403;NOEL Clement;1997;FRA
30;511867;NOGER Cedric;1992;SUI
53;104539;SEGER Riley;1997;CAN
41;511863;SETTE Daniele;1992;SUI
48;6300451;KATO Seigo;1998;JPN
52;422359;VEISTEN Patrick Haugen;1994;NOR
63;54348;PERTL Adrian;1996;AUT
27;990048;BORSOTTI Giovanni;1990;ITA
50;6532354;GILE Bridger;1999;USA
55;54445;HAASER Raphael;1997;AUT
62;60236;van den BROECKE Dries;1995;BEL
65;492192;ORTEGA Albert;1998;ESP
69;30149;SIMARI BIRKNER Cristian Javier;1980;ARG
DID NOT FINISH RUN 1: 4 competitors;;;;
51;512274;BISSIG Semyel;1998;SUI
57;6291028;SORIO Daniele;1994;ITA
67;221213;RAPOSO Charlie;1996;GBR
68;502015;JAKOBSEN Kristoffer;1994;SWE
Jury;;;;
FIS Technical Delegate;;GUT Marco;SUI;
Referee;;WALDNER Markus;FIS;
Assistant Referee;;COUDER Emmanuel;FIS;
Chief of Race;;GALLI Omar;ITA;
Race Information Run 1;;;;
Course Setter;;GARNER Ian;USA;
Gates/Turning Gates
Start Time
45/43
10:00
YB NCoSdAe
Code
Run 1;;Run 2;Total;Race;
;;;;"Diff.
Points";Ski
Time Rank;;Time Rank;;;
1;06.36 (44);;;;Atomic
1;06.37 (45);;;;Head
1;06.43 (46);;;;Fischer
1;06.44 (47);;;;Atomic
1;06.50 (48);;;;Head
1;06.53 (49);;;;
1;06.55 (50);;;;Head
1;06.57 (51);;;;Rossignol
1;06.57 (51);;;;Rossignol
1;06.60 (53);;;;Dynastar
1;06.62 (54);;;;Kaestle
1;06.81 (55);;;;Rossignol
1;06.86 (56);;;;"Fischer
Alpine"
1;06.92 (57);;;;Atomic
1;07.04 (58);;;;Head
1;07.08 (59);;;;Voelkl
1;07.12 (60);;;;Rossignol
1;07.25 (61);;;;Head
1;07.42 (62);;;;Fischer
1;08.34 (63);;;;Voelkl
1;08.79 (64);;;;Rossignol
1;09.04 (65);;;;
Atomic
Atomic
Rossignol
Fischer
Technical Data;
"Course Name
Start Altitude
Finish Altitude
Vertical Drop
Homologation Number";"Deborah Compagnoni
2070m
1730m
340m
11568/12/14"
Race Information Run 2;
NOR
Course Setter
Gates/Turning Gates
Start Time
ROTTENSTEINER Michael
46/43
13:00
Forerunners:;;;;;;
Run 1:;F1 - GURINI Federico;ITA;F2 - CANTONI Albino;ITA;F3 - CANCLINI Tommaso;ITA
Run 2:;F1 - GURINI Federico;ITA;F2 - CANTONI Albino;ITA;F3 - CANCLINI Tommaso;ITA
Conditions on course:;;;;;;;
Run 1;MOSTLY CLOUDY;Snow:;PACKED;Temperature - Start:;-6°C;Temperature - Finish:;-4°C
Run 2;LIGHT SNOW;Snow:;PACKED;Temperature - Start:;-3°C;Temperature - Finish:;-2°C
Legend:
YB	Year of Birth
MON 7 DEC 2020 / Santa Caterina Valfurva (ITA) / 0032____________________________________________________________________________________________________________Page 2/2
Data Processing by LONGINES_______________________________________________www.fis-ski.com__________________________________________________________LONGINES Timing
Generation date : MON 7 DEC 2020	Time : 13:53	Document: C73C 1.0
