92;310467;VUKMIROVIC Vladimir;2004;MNE;
93;340462;KAYROUZ Cyril;1999;LBN;
94;170179;RIIS Marcus Cristian;2002;DEN;
98;680076;KOZANASHVILI Nodar;2002;GEO;
SUN 21 FEB 2021 / Cortina d'Ampezzo (ITA) / 0080___________________________________________________________________________________________________________Page 3/4
Data Processing by LONGINES_____________________________________________www.fis-ski.com_______________________________________________________LONGINES Timing
Generation date : SUN 21 FEB 2021	Time : 14:45	Document: C73C 1.0
TELEPASS FIS ALPINE WORLD SKI CHAMPIONSHIPS 2021
Cortina d'Ampezzo (ITA)
LONGINES
t Telepass
Men's Slalom
SUN 21 FEB 2021
Start Time 13:30
OFFICIAL RESULTS
Number of Competitors: 162, Number of NSAs: 58
Rank;Bib;"FIS
Code";Name;YB;"NSA
Code";Run 1;Run 2;Total;Diff.;Ski
;;;;;;Time Rank;Time Rank;;;
;99;6191228;FLORINDO Mackenson;2002;HAI;;;;;
;100;340588;ISKANDAR Ray;2002;LBN;;;;;
;101;160112;EPIPHANIOU Andreas;1999;CYP;;;;;
;103;750114;ANASTASOSKI Vlatko;2004;MKD;;;;;
;105;790030;IDHYA Mahdi;1996;MAR;;;;;
;106;540001;von HOHENLOHE Hubertus;1959;MEX;;;;;
;107;740051;GEGHAMYAN Hayk;2003;ARM;;;;;
;110;800023;VERIGA Vasil;1998;ALB;;;;;
;112;620046;KHAN Arif Mohd;1990;IND;;;;;
DISQUALIFIED RUN 1 IN QUALIFICATION RACE: 1 competitor
111	921000 ROY Jean-Pierre	1963 HAI
Gate 43
Rule 629.3
DID NOT START RUN 1 IN QUALIFICATION RACE: 3 competitors
36;110409;HORWITZ Kai;1998;CHI
49;260180;JAFARI Seyedmorteza;1992;IRI
79;780020;ALEKSANDRAVICIUS Vilius;1995;LTU
Reason for disqualification:
629.3 Does not pass through a gate correctly
Jury_________________________________________________________________ Technical Data
FIS Technical Delegate;BIZJAK Peter;;SLO;Course Name;;Druscie
Referee;WALDNER Markus;;FIS;Start Altitude;;1700m
Assistant Referee;COUDER Emmanuel;;FIS;Finish Altitude;;1490m
Chief of Race;ZARDINI Edoardo;;ITA;Vertical Drop;;210m
