Rank;Bib;"FISCode";Name;YB;"NSACode";Run 1;;Run 2;;Total;;Race;;;;;;;;;;;;;;Diff.;Points;Ski;;;;;;Time Rank;;Time Rank;;;;;;
1;6;422304;KRISTOFFERSEN Henrik;1994;NOR;50.33;(1);47.48;(6);1;37.81;;0.00;Rossignol
2;1;511902;ZENHAEUSERN Ramon;1992;SUI;51.31;(11);46.78;(2);1;38.09;0.28;2.09;Rossignol
3;35;512138;SIMONET Sandro;1995;SUI;52.16;(30);46.31;(1);1;38.47;0.66;4.93;Rossignol
4;19;54348;PERTL Adrian;1996;AUT;51.90;(25);46.94;(3);1;38.84;1.03;7.69;Voelkl
4;14;193967;MUFFAT-JEANDET Victor;1989;FRA;51.49;(15);47.35;(5);1;38.84;1.03;7.69;Salomon
6;2;54320;SCHWARZ Marco;1995;AUT;50.77;(3);48.32;(21);1;39.09;1.28;9.55;Atomic
7;31;293098;RAZZOLI Giuliano;1984;ITA;51.55;(16);47.55;(9);1;39.10;1.29;9.63;Fischer
8;23;292491;MOELGG Manfred;1982;ITA;52.05;(27);47.07;(4);1;39.12;1.31;9.78;Fischer
8;5;194364;PINTURAULT Alexis;1991;FRA;50.56;(2);48.56;(22);1;39.12;1.31;9.78;Head
10;22;502015;JAKOBSEN Kristoffer;1994;SWE;51.17;(8);48.02;(17);1;39.19;1.38;10.30;Fischer
11;4;54063;FELLER Manuel;1992;AUT;51.34;(12);47.94;(15);1;39.28;1.47;10.97;Atomic
12;21;192665;GRANGE Jean-Baptiste;1984;FRA;51.77;(21);47.59;(10);1;39.36;1.55;11.57;Rossignol
13;17;6293171;VINATZER Alex;1999;ITA;51.38;(13);47.99;(16);1;39.37;1.56;11.64;Nordica
14;7;422082;FOSS-SOLEVAAG Sebastian;1991;NOR;51.28;(10);48.11;(18);1;39.39;1.58;11.79;Voelkl
15;24;561322;HADALIN Stefan;1995;SLO;51.66;(17);47.74;(14);1;39.40;1.59;11.87;Rossignol
16;11;54170;MATT Michael;1993;AUT;51.82;(23);47.61;(11);1;39.43;1.62;12.09;Rossignol
17;20;511983;AERNI Luca;1993;SUI;50.86;(4);48.59;(23);1;39.45;1.64;12.24;Fischer
18;9;511996;YULE Daniel;1993;SUI;51.89;(24);47.63;(12);1;39.52;1.71;12.76;Fischer
19;48;6531936;WINTERS Luke;1997;USA;52.09;(28);47.48;(6);1;39.57;1.76;13.14;Rossignol
20;32;202520;HOLZMANN Sebastian;1993;GER;52.13;(29);47.50;(8);1;39.63;1.82;13.58;Rossignol
21;38;511899;ROCHAT Marc;1992;SUI;51.43;(14);48.28;(20);1;39.71;1.90;14.18;Nordica
21;29;6291430;MAURBERGER Simon;1995;ITA;51.98;(26);47.73;(13);1;39.71;1.90;14.18;Atomic
23;26;92720;POPOV Albert;1997;BUL;51.01;(6);48.80;(26);1;39.81;2.00;14.93;Head
23;10;202451;STRASSER Linus;1992;GER;51.15;(7);48.66;(25);1;39.81;2.00;14.93;Rossignol
25;16;380335;ZUBCIC Filip;1993;CRO;51.76;(20);48.25;(19);1;40.01;2.20;16.42;Atomic
26;15;54444;GSTREIN Fabio;1997;AUT;50.91;(5);49.16;(27);1;40.07;2.26;16.87;Atomic
27;33;60253;MARCHANT Armand;1997;BEL;51.66;(17);48.59;(23);1;40.25;2.44;18.21;Salomon
28;28;293797;GROSS Stefano;1986;ITA;51.19;(9);49.19;(28);1;40.38;2.57;19.18;Voelkl
Conditions on course:;;;;;;
Run 1;PARTLY CLOUDY;Snow:;COMPACT;Temperature - Start: 0°C;Temperature - Finish:;0°C
Run 2;SUNNY;Snow:;COMPACT;Temperature - Start: 1°C;Temperature - Finish:;2°C
